Epoch,Train Loss,Train Acc,Test Loss,Test Acc
1,1.2823599687540905,53.92,0.8981820974772731,68.13
2,0.8616692972770503,69.7,0.7254743407757137,74.93
3,0.6987052970087383,75.382,0.6171089542654756,78.3
4,0.6030265332526757,78.956,0.5662839693157151,80.53
5,0.5278671401495058,81.376,0.5369873714749329,81.9
6,0.46909213618101864,83.642,0.5085248562177054,82.85
7,0.4158910348563338,85.49,0.48717480983001926,83.82
8,0.3809753998980565,86.598,0.49507223939100586,83.58
9,0.3473453639302777,87.93,0.4740324025920119,84.36
10,0.3061245299484855,89.192,0.48028930221586086,84.81
11,0.2882343977594406,89.832,0.4915405718309168,85.09
12,0.26616673172592775,90.678,0.4943760470174753,84.67
13,0.24646950816653398,91.522,0.47672813221478993,85.52
14,0.22474820518023642,92.132,0.4938933407239164,85.7
15,0.2132625825278895,92.426,0.494381095223224,84.75
16,0.19589574395733161,93.138,0.4972690134710921,85.42
17,0.18503367830865128,93.542,0.509031338373217,85.46
18,0.17349648371372212,93.898,0.5366408113314333,85.61
19,0.16324985802104494,94.376,0.5209097662143195,85.55
20,0.15684251732419954,94.698,0.5512097379766976,85.69
21,0.14614682048273178,94.846,0.5331622423818365,86.06
22,0.14462524347313543,94.974,0.54447590380672,85.86
23,0.14089208680979065,95.06,0.5456157944659098,85.95
24,0.13097326142441718,95.484,0.5553637497490064,85.55
25,0.1282840438159713,95.492,0.5284244427680612,85.79
26,0.12338522772581191,95.706,0.5251116264037217,86.4
27,0.11372542187007846,95.98,0.5761944560822063,86.0
28,0.11434590468235,96.078,0.5720528079815709,86.21
29,0.11060404779031391,96.108,0.5405342884818479,86.17
30,0.10434971272174366,96.406,0.5908258165740156,85.93
31,0.1074954462861815,96.27,0.6592141590884533,84.66
32,0.09737542551889734,96.7,0.6065967502489019,85.62
33,0.0990720593028774,96.638,0.5911673054987261,86.22
34,0.09417481634785825,96.658,0.5623371866129981,86.31
35,0.09379393671938979,96.722,0.6057401367309935,86.16
36,0.09215202387595121,96.89,0.5913670674989598,86.19
37,0.08491560957960305,97.096,0.627873172898889,86.63
38,0.09013981203848326,96.886,0.6043744283436705,85.81
39,0.08282795314796529,97.136,0.6004680185742415,86.49
40,0.08363864541860262,97.166,0.602294146299017,86.49
41,0.08490724789448827,97.16,0.6564136712243572,85.76
42,0.08063076880618379,97.272,0.6201286330408515,86.42
43,0.08072073489870883,97.276,0.588689884294372,86.59
44,0.0748920598399086,97.456,0.6366091744480328,86.55
45,0.07454180910819737,97.474,0.61061749953,86.75
46,0.0748413555429544,97.46,0.6278271851462339,86.67
47,0.07269131366834723,97.534,0.62043449737447,86.68
48,0.06697138651182234,97.714,0.6893314393648453,86.55
49,0.07094784061594551,97.608,0.6448649125502478,86.37
50,0.06534164113290736,97.71,0.6286554609934172,86.07
51,0.0669731367906387,97.74,0.5978211878520695,86.63
52,0.06433761719165439,97.752,0.6409846621849307,86.79
53,0.06510245608815642,97.824,0.6332310506004316,86.55
54,0.06590956794084613,97.798,0.6734271815426784,86.58
55,0.06021832190288656,97.936,0.6776544558819377,86.22
56,0.06131460806113559,97.892,0.6376759260387038,86.9
57,0.05974930063032239,97.916,0.6611721562067294,86.83
58,0.05746283884960455,98.038,0.6163601710542161,86.74
59,0.05705207205059928,98.01,0.666471986830277,86.85
60,0.060015812824102316,97.946,0.6479617834627516,87.15
61,0.057558752065172906,98.002,0.6406266636099107,86.86
62,0.05262941328371978,98.22,0.6832611516070443,86.62
63,0.058457730845590666,97.968,0.6795313564205793,86.18
64,0.058037392364393904,98.024,0.7022925328006581,86.76
65,0.053019002594550314,98.208,0.6784707872803656,86.88
66,0.051880134432673426,98.194,0.6567517592164036,87.16
67,0.053777230791652975,98.2,0.6406174662672489,87.08
68,0.0547394708591595,98.196,0.649790756420021,86.9
69,0.05397397067637069,98.174,0.6714421267250773,86.76
70,0.048042635713670116,98.332,0.7126774932521904,87.25
71,0.04991957606741583,98.292,0.6607350752132531,86.97
72,0.053425289591098345,98.228,0.6601724112659288,86.45
73,0.04705622579903304,98.448,0.7285645999017725,86.8
74,0.049262860638287005,98.276,0.6680807553100795,86.91
75,0.04634500254610415,98.406,0.7109682921892234,86.75
76,0.04903719468999795,98.264,0.7213744781829547,87.02
77,0.049785923451486025,98.256,0.7631704165457418,86.39
78,0.04553978470020337,98.406,0.7081338101860356,86.86
79,0.04496741770621417,98.556,0.6862598669197494,86.7
80,0.04682269427220451,98.414,0.7073452745310623,86.84
