epoch,train_loss,train_acc,test_loss,test_acc
1,0.8973051610291899,0.6467989329776592,0.7314041792551677,0.7153333333333334
2,0.5249036106120432,0.7920140046682227,0.5475748195648193,0.7773333333333333
3,0.38910230040232235,0.847782594198066,0.44180993441740674,0.8243333333333334
4,0.32137345844366105,0.8771257085695232,0.45076205956935883,0.837
5,0.24329288229818302,0.9068856285428476,0.41629711403449376,0.854
6,0.185857784980613,0.9318106035345115,0.4253487314979235,0.8503333333333334
7,0.1498355901501663,0.9462320773591197,0.38625277709960937,0.8733333333333333
8,0.11391055597866245,0.9589863287762588,0.4441375043392181,0.857
9,0.07496898876215546,0.9728242747582527,0.4479607041279475,0.867
10,0.059004604416455615,0.9797432477492497,0.44429397288958233,0.865
11,0.055737480110041336,0.981077025675225,0.441142391204834,0.871
12,0.05051652140568826,0.9844114704901634,0.4561062979698181,0.876
13,0.04146875895773442,0.9864121373791264,0.5287124797503153,0.861
14,0.03962744708337876,0.9869956652217405,0.5384453511536121,0.8696666666666667
15,0.044931848013289734,0.985078359453151,0.5049055506587028,0.869
16,0.044398526383781875,0.9846615538512837,0.5343771487077077,0.8613333333333333
17,0.04198677781671186,0.9842447482494164,0.5581752748092016,0.864
18,0.026782992279461997,0.9904968322774258,0.520608650247256,0.8803333333333333
19,0.020029225364009435,0.993081027009003,0.530125341027975,0.8786666666666667
20,0.017428905005955266,0.9944981660553518,0.5423196655114492,0.8723333333333333
21,0.011318243756174802,0.9964988329443147,0.5556506686607997,0.8773333333333333
22,0.021886396538261257,0.993081027009003,0.6179315109650294,0.8686666666666667
23,0.03232669288857097,0.9894131377125709,0.6285436654090881,0.8626666666666667
24,0.03542438380994094,0.9876625541847283,0.5949034105141957,0.8753333333333333
25,0.03404612199500546,0.9878292764254751,0.5508727728128433,0.8743333333333333
26,0.024966427440860344,0.9909136378792931,0.5676963024139404,0.878
27,0.019071397755112438,0.9939146382127376,0.5851986921628316,0.877
28,0.013019534084410539,0.9954984994998333,0.617929115096728,0.879
29,0.01631993430605448,0.9948316105368457,0.5469952710469563,0.8683333333333333
30,0.008781110169133095,0.996915638546182,0.5819141278266907,0.8733333333333333
31,0.022544170034507108,0.9924974991663887,0.6129502596855163,0.868
32,0.02328545857555034,0.9922474158052684,0.5664657719930013,0.878
33,0.024751186627747442,0.9918306102034011,0.6730945038348436,0.865
34,0.017013042033738487,0.9942480826942314,0.60931807132562,0.878
35,0.010683114630050297,0.995998666222074,0.6085111604531606,0.868
36,0.016115877472771635,0.9946648882960987,0.6004810508489609,0.8786666666666667
37,0.021527681688841144,0.992164054684895,0.6033715050617854,0.8826666666666667
38,0.018473200740683333,0.9932477492497499,0.712459419965744,0.8666666666666667
39,0.02275369199543754,0.992164054684895,0.6586090446313222,0.864
40,0.01601741144731119,0.9938312770923641,0.608371385773023,0.875
41,0.014274260074866171,0.9958319439813271,0.6164687988360723,0.874
42,0.010053072343653402,0.9964154718239413,0.6413492370446523,0.881
43,0.010375770522519404,0.9958319439813271,0.6433403573036194,0.8733333333333333
44,0.006102147246738905,0.9977492497499166,0.661488378683726,0.8743333333333333
45,0.0022606454623807825,0.9997499166388796,0.629191168864568,0.8796666666666667
46,0.005444567681688638,0.9985828609536512,0.6397472399870555,0.8806666666666667
47,0.003945268755703364,0.9987495831943981,0.6800984481970469,0.8773333333333333
48,0.004895331232462895,0.9986662220740247,0.6504044777552287,0.881
49,0.008160693167419077,0.9973324441480493,0.7105277502536773,0.8703333333333333
50,0.02404684321638091,0.9913304434811604,0.7799172320365906,0.8683333333333333
51,0.036304624541282214,0.9866622207402468,0.7355303740501404,0.8616666666666667
52,0.029043842539645884,0.9887462487495832,0.676925060113271,0.863
53,0.01971900651573628,0.9922474158052684,0.640818987791737,0.8683333333333333
54,0.021245159324297075,0.991997332444148,0.6354065678517024,0.8803333333333333
55,0.01634536390454052,0.9943314438146049,0.6610227963129679,0.8706666666666667
56,0.012131625408180637,0.995998666222074,0.6045270886421203,0.8826666666666667
57,0.010486009873564083,0.996165388462821,0.6092966261108717,0.8806666666666667
58,0.009301902121468626,0.997082360786929,0.6191196908156077,0.8846666666666667
59,0.005680576366660902,0.9978326108702901,0.6060332368214925,0.887
60,0.004982540859339591,0.9986662220740247,0.6681135365168254,0.8783333333333333
61,0.005000583230551654,0.9981660553517839,0.663017574985822,0.8876666666666667
62,0.009094694637385716,0.9966655551850617,0.7030639690558116,0.8793333333333333
63,0.006443814101227426,0.9979159719906635,0.7460099165439605,0.8746666666666667
64,0.006008409634727839,0.9978326108702901,0.7610229988098145,0.8746666666666667
65,0.010863445938528192,0.9965821940646882,0.7574894821643829,0.8796666666666667
66,0.01195699450065838,0.9959153051017006,0.6748842252890269,0.8726666666666667
67,0.01811466141256349,0.9939146382127376,0.6931546008760731,0.8796666666666667
68,0.017319245143132374,0.9939146382127376,0.7312260451316833,0.8686666666666667
69,0.01840286751325258,0.9940813604534845,0.8276948500871658,0.856
70,0.020064868437028146,0.9927475825275092,0.8262195888360342,0.865
71,0.018395351763366263,0.9931643881293765,0.7638245875835419,0.8756666666666667
72,0.01223546496343095,0.9957485828609537,0.6694473032951355,0.874
73,0.006878351701179593,0.9980826942314105,0.6856072735786438,0.8823333333333333
74,0.003893163754837976,0.9985828609536512,0.6628304330507914,0.881
75,0.0052591342380858535,0.9985828609536512,0.7200948858261108,0.883
76,0.005376175121254704,0.9981660553517839,0.6984447412490845,0.8766666666666667
77,0.00639477897843482,0.9978326108702901,0.7543344186147054,0.872
78,0.008550949714951796,0.9967489163054352,0.754679141998291,0.876
79,0.008783772134381399,0.9967489163054352,0.7417052819728851,0.8813333333333333
80,0.010398758468104799,0.996165388462821,0.7307977268695831,0.8753333333333333
81,0.011813901577603847,0.9959153051017006,0.7875499780972799,0.8666666666666667
82,0.011447993661927587,0.9962487495831944,0.7317011005878449,0.8776666666666667
83,0.01378620462736662,0.9953317772590864,0.6987046112219493,0.881
84,0.016607823439138695,0.9951650550183394,0.764582071463267,0.8696666666666667
85,0.009524974307755245,0.9969989996665555,0.6843135708967845,0.8843333333333333
86,0.005591248259446439,0.9982494164721574,0.7311790905793508,0.878
87,0.0035748526349609544,0.9989996665555185,0.658713577191035,0.8856666666666667
88,0.0021727329409079116,0.9991663887962654,0.6898643463452657,0.8806666666666667
89,0.0024670063050696084,0.9991663887962654,0.6715332506497701,0.883
90,0.0032849619971701913,0.9988329443147715,0.7854893445173899,0.8776666666666667
91,0.005022749217508455,0.9983327775925308,0.7010371182759603,0.8913333333333333
92,0.0037130735516762966,0.9983327775925308,0.7694882419904073,0.8796666666666667
93,0.005182116639702704,0.9984161387129044,0.7758013201554617,0.881
94,0.007356532691381984,0.9973324441480493,0.7604817255338033,0.8843333333333333
95,0.02617205025883787,0.9920806935645216,0.7374129185676574,0.867
96,0.019053695684363468,0.9933311103701233,0.7407636272112529,0.882
97,0.011427235566626174,0.995998666222074,0.6645820662180583,0.875
98,0.016283904638442,0.995248416138713,0.714459487358729,0.8723333333333333
99,0.008603722559522294,0.9969989996665555,0.6966651116212209,0.8793333333333333
100,0.007662178327510504,0.9972490830276759,0.682648692369461,0.877
