Epoch,Train Loss,Train Acc,Test Loss,Test Acc
1,1.0559953265190125,55.3351117039013,1.10556301601885,60.4
2,0.6042518819173177,75.4001333777926,0.6209961393739077,76.63333333333334
3,0.4785003089904785,81.4271423807936,0.8843683274122243,71.73333333333333
4,0.39772760212421415,84.31977325775259,0.4961272166655498,81.7
5,0.3584390655954679,86.26208736245415,0.4132674499336683,84.83333333333333
6,0.3164245159626007,87.88762920973657,0.402167606769126,83.93333333333334
7,0.2952587053179741,88.64621540513504,0.4217813043233423,85.1
8,0.26593176667888957,89.57985995331778,0.33716389246752015,87.26666666666667
9,0.2419282566308975,90.59686562187396,0.25918103463722064,90.9
10,0.2304508835201462,91.6222074024675,0.33189637581520576,88.33333333333333
11,0.21644950021306675,91.91397132377459,0.24066436120147336,91.16666666666667
12,0.2031522473146518,92.48082694231411,0.22896056455949215,91.46666666666667
13,0.18916530600190162,92.85595198399467,0.39797031033556274,86.66666666666667
14,0.18064192350705466,93.14771590530177,0.2718359724635654,90.63333333333334
15,0.17539824944237867,93.53951317105702,0.36273731249496044,87.2
16,0.16101481139659882,94.03134378126042,0.2673968123320023,90.63333333333334
17,0.16078623831272126,93.68956318772925,0.26253096793613545,90.96666666666667
18,0.14022578591729204,94.59819939979994,0.20735074743914567,93.03333333333333
19,0.1354292024895549,94.6648882960987,0.2845876491804535,90.96666666666667
20,0.12486518285796046,95.20673557852618,0.20880404728313712,93.0
21,0.12339069303621848,95.43181060353452,0.23027633020523539,92.13333333333334
22,0.11924509668971102,95.61520506835612,0.2244836046592293,92.5
23,0.1130004215563337,95.89863287762587,0.2249874254195981,93.1
24,0.10865551761910319,96.13204401467156,0.21188165877937865,92.96666666666667
25,0.10133863466853897,96.14871623874625,0.27693735734503466,91.9
26,0.0998764573490868,96.31543847949317,0.29155715758318235,90.46666666666667
27,0.09142495554561417,96.57385795265088,0.29349924478839906,92.53333333333333
28,0.08684354608599097,96.9406468822941,0.2237785149540561,93.06666666666666
29,0.09219292742852121,96.60720240080026,0.2835752738397651,90.76666666666667
30,0.08921741717588157,96.75725241747249,0.21216297744606855,93.86666666666666
31,0.090878296654361,96.64054684894965,0.25546764083252255,92.93333333333334
32,0.07809328006859868,97.20740246748916,0.25654537588169546,92.1
33,0.07346904951954882,97.11570523507837,0.22421496161218674,93.76666666666667
34,0.06450883535606165,97.53251083694565,0.24414358730031865,93.56666666666666
35,0.07510552046603212,97.36578859619873,0.2032711345945347,93.73333333333333
36,0.07232332214309524,97.34911637212404,0.2440357901232706,93.46666666666667
37,0.06508986736725395,97.5241747249083,0.21952354618580683,94.13333333333334
38,0.06416204677832624,97.69089696565521,0.24492901989507282,93.16666666666667
39,0.05647229817509651,97.96598866288763,0.2569464767384682,93.46666666666667
40,0.05273471331844727,98.04934978326109,0.40767949202811304,89.66666666666667
41,0.06775762683975821,97.5241747249083,0.2606306109242688,93.23333333333333
42,0.059228498700695735,97.76592197399133,0.2381510448803947,93.93333333333334
43,0.04799893229190881,98.16605535178392,0.2919032980577785,92.86666666666666
44,0.05015428019190828,98.08269423141047,0.26108487918416345,93.13333333333334
45,0.06190343492943794,97.89096365455151,0.20070241908547204,94.43333333333334
46,0.04503426342558426,98.36612204068022,0.25563513995503606,93.83333333333333
47,0.04821459319007893,98.30776925641881,0.27376821214193986,93.53333333333333
48,0.045028527308721096,98.26608869623207,0.21476815285889214,94.1
49,0.04133485999689825,98.57452484161387,0.26498105145882905,93.4
50,0.040293510089890336,98.53284428142715,0.2526515185871658,93.7
51,0.043881256378022954,98.4161387129043,0.21573512676073164,95.0
52,0.046636005526253334,98.39113037679226,0.28883002297846944,93.16666666666667
53,0.05514009910992657,98.15771923974658,0.25579702183098135,93.8
54,0.03645358221357067,98.76625541847282,0.22897219948471792,94.63333333333334
55,0.03859110733385508,98.8329443147716,0.2945762653055366,93.43333333333334
56,0.038055044367831824,98.62454151383794,0.19613128771451388,95.13333333333334
57,0.04267746130765105,98.36612204068022,0.2606078527687894,94.03333333333333
58,0.03640602332512693,98.66622207402467,0.29236160359452956,93.23333333333333
59,0.04544970793797014,98.432810936979,0.24868128338760628,93.93333333333334
60,0.03316036299961464,98.87462487495831,0.2519329471329407,93.8
61,0.03653700232397144,98.69956652217405,0.26939022912480337,94.0
62,0.04166167720903953,98.53284428142715,0.34273430328814863,92.9
63,0.028775166025191236,98.9996665555185,0.26589617853249364,94.16666666666667
