epoch,train_loss,train_acc,test_loss,test_acc
1,3.6010920434570313,0.1447,3.0379088874816893,0.2505
2,2.8481579476165773,0.28146,2.4585006896972654,0.362
3,2.4797042808532717,0.35718,2.2576653327941894,0.412
4,2.227690583190918,0.40798,1.9912215934753419,0.4652
5,2.0410850713348387,0.44988,1.9615560321807861,0.4712
6,1.8947227124404906,0.4812,1.8134741176605225,0.512
7,1.764213291091919,0.51442,1.789265544128418,0.5231
8,1.6785482369613647,0.53408,1.729456356048584,0.5385
9,1.58977933013916,0.55646,1.646470597267151,0.5542
10,1.5067488035583496,0.57424,1.620372412109375,0.5626
11,1.4360079457855224,0.59224,1.6107948474884033,0.572
12,1.3815706216430663,0.60624,1.4963692974090577,0.5901
13,1.3141131736755371,0.62292,1.508295640563965,0.5952
14,1.2617446962738037,0.63362,1.5312834728240967,0.5932
15,1.206957118988037,0.64922,1.4923703491210938,0.61
16,1.1652944470977784,0.66096,1.5239229545593262,0.6037
17,1.1231165908432006,0.66828,1.5028784006118774,0.6084
18,1.0782371365737915,0.67946,1.4873691801071167,0.6112
19,1.0409229041290282,0.69194,1.5167513069152831,0.6146
20,1.0008679423522948,0.70008,1.4766575865745544,0.6174
21,0.9661299132537842,0.70986,1.5371914207458497,0.6146
22,0.9373860614776611,0.71808,1.5166019603729248,0.6238
23,0.9063313885498047,0.72664,1.4841217109680176,0.6229
24,0.8791851524734497,0.73406,1.483069068145752,0.6268
25,0.8474160459709168,0.74242,1.5055109664916992,0.6312
26,0.8153027974510193,0.7512,1.4954238677978515,0.6355
27,0.7958632640838623,0.75782,1.6077280603408814,0.6188
28,0.7650410748291016,0.76568,1.486020498085022,0.6348
29,0.7410465954971314,0.77438,1.550512682914734,0.6343
30,0.7337664218521118,0.77496,1.5844603729248048,0.6307
31,0.6990611167526245,0.78126,1.5961447177886963,0.6293
32,0.6871888138580322,0.78594,1.6289551082611085,0.634
33,0.6644314461898804,0.79438,1.6239110622406006,0.6403
34,0.6546652515983582,0.79704,1.6074300872802734,0.6341
35,0.6262289870834351,0.80416,1.6502593986511231,0.6332
36,0.616459965171814,0.80502,1.6168982601165771,0.6383
37,0.6008875730228425,0.81172,1.6656972736358642,0.6344
38,0.57658213306427,0.81902,1.6257584966659546,0.6358
39,0.5650446528244019,0.82072,1.6385112493515015,0.6392
40,0.5544383807182311,0.82456,1.6754253658294678,0.6395
41,0.5405314029121399,0.82876,1.7107073072433472,0.643
42,0.526235394077301,0.83392,1.7498091543197631,0.6392
43,0.5083491655540466,0.83862,1.6756626707077027,0.6418
44,0.5058123761367798,0.83824,1.7205420440673829,0.6371
45,0.4894824248886108,0.84518,1.7855677143096924,0.6366
46,0.4788064560484886,0.84746,1.7188360728263854,0.6366
47,0.46254498512268066,0.85288,1.7387713649749756,0.6402
48,0.46133651025772093,0.85346,1.8173074392318727,0.641
49,0.4611392344856262,0.8522,1.7783241916656494,0.6445
50,0.4371897691345215,0.85806,1.6885903162002565,0.6465
51,0.43130637023925783,0.86084,1.875502803993225,0.6432
52,0.43224274410247804,0.8623,1.846512004852295,0.6339
53,0.42235793610572814,0.86474,1.7551795181274414,0.6448
54,0.39981839010238646,0.87122,1.8799672472953797,0.6423
55,0.40513880144119263,0.86886,1.8415433584213257,0.6468
56,0.3895422878265381,0.8756,1.9026543453216553,0.6481
57,0.38429368527412416,0.8766,1.8435967391967774,0.6465
58,0.3687722051525116,0.88012,1.8584618019104004,0.6391
59,0.37034262186050415,0.8794,1.889425257873535,0.6445
60,0.36143588634490964,0.88324,1.899886696434021,0.6436
61,0.36501235706329344,0.88418,1.9275716955184936,0.6414
62,0.34742988072395325,0.88826,1.9418533807754517,0.6439
63,0.3438493138790131,0.88918,1.9815297929763793,0.6359
64,0.34001273696899414,0.8912,1.8641959955215455,0.6455
65,0.3293381007671356,0.89382,1.951419493484497,0.6458
66,0.333345195274353,0.89108,1.9855792930603027,0.6379
67,0.32501395204544065,0.89598,1.9678283199310302,0.6512
68,0.32109840646743776,0.8963,1.970691004371643,0.6432
69,0.31493050506591797,0.89826,2.047309337615967,0.6477
70,0.30417504353046415,0.90106,2.0100033497810363,0.6488
71,0.30729549935340883,0.90128,2.0075245676040647,0.6427
72,0.2960438121747971,0.9042,2.044665796279907,0.644
73,0.30127860498428344,0.90272,2.016202151489258,0.6478
74,0.2974224845981598,0.90358,1.951526848602295,0.6447
75,0.2923427742671967,0.90626,2.036242988014221,0.6441
76,0.2896631069850922,0.90678,1.9608437450408935,0.6435
77,0.28153636704921725,0.90746,2.077175642490387,0.6423
78,0.276235158662796,0.91036,2.0362245141983033,0.6446
79,0.27386017044067384,0.91128,2.029977785491943,0.6469
80,0.2751516742229462,0.91036,2.063296741294861,0.6416
81,0.2650195311450958,0.91556,2.0670719058990477,0.6434
82,0.2631716036605835,0.91306,2.2157786653518676,0.6457
83,0.2631779768371582,0.91548,2.1162905773162843,0.6492
84,0.2560555638217926,0.9167,2.075244695854187,0.6457
85,0.262508469953537,0.91546,2.027165078163147,0.6443
86,0.25665562005996706,0.91678,2.1258785190582277,0.6424
87,0.2522565671825409,0.91884,2.111133100128174,0.6537
88,0.25077344336509705,0.91962,2.150011610221863,0.6504
89,0.24665334121227264,0.91856,2.1478217504501345,0.65
90,0.2347736549806595,0.92236,2.199255595207214,0.6504
91,0.23930436199188232,0.92154,2.164620979118347,0.6501
92,0.2360775994682312,0.9228,2.1921392557144164,0.652
93,0.2462343593931198,0.9209,2.2030809526443482,0.6511
94,0.23476674736022948,0.92346,2.1115990003585816,0.6473
95,0.22801573835849762,0.92618,2.1411098878860475,0.6465
96,0.22542234762191773,0.92574,2.1613115770339966,0.646
97,0.23177650624752044,0.92536,2.083862725448608,0.6485
98,0.22317016588211058,0.9269,2.18014878616333,0.6456
99,0.2220587804365158,0.92734,2.2289042144775393,0.6449
