Epoch,Train Loss,Train Acc,Test Loss,Test Acc
1,1.055009761651357,55.47682560853618,1.0119975827475811,58.63333333333333
2,0.6112683938741684,75.57519173057686,0.6194777284411991,76.93333333333334
3,0.47968279365698496,80.91863954651551,0.4605750819034082,81.63333333333334
4,0.39954077744483946,84.61153717905968,0.34720825099267383,87.0
5,0.35651535296440123,86.1453817939313,0.4315027600948869,83.76666666666667
6,0.32314649307727816,87.88762920973657,0.3551793565408282,86.8
7,0.29720392855008443,88.46282094031343,0.2624169920145118,90.23333333333333
8,0.26192077952623366,89.8049349783261,0.25886058654964955,90.3
9,0.23909978301326434,90.83027675891964,0.23535008882097516,91.73333333333333
10,0.2346221443017324,91.34711570523508,0.3278707766194396,88.5
11,0.21496606411536534,91.94731577192397,0.2771461548396241,90.7
12,0.20189590969185034,92.18072690896966,0.3379311220913301,87.96666666666667
13,0.18930121518174808,92.8059353117706,0.32931273322592075,88.46666666666667
14,0.17957316960394382,93.24774924974992,0.3769499637968181,87.33333333333333
